aiannh_ce,aiannh_ns,aiannh_name,area_type,states
1655,02418978,Jamestown S'Klallam Reservation,other,WA
1670,02418979,Jamul Indian Village,other,CA
1685,00916031,Jemez Pueblo,other,NM
1690,02453210,Jena Band of Choctaw Reservation,other,LA
1700,01934339,Jicarilla Apache Nation Reservation,other,NM
1720,00023994,Kaibab Indian Reservation,other,AZ
1735,01528426,Kalispel Reservation,other,WA
1750,02418982,Karuk Reservation,other,CA
1770,00479833,Kickapoo (KS) Reservation,other,KS
1775,02418986,Kickapoo (TX) Reservation,other,TX
1785,02418990,Klamath Reservation,other,OR
1800,00394860,Kootenai Reservation,other,ID
1815,01577192,Lac Courte Oreilles Reservation,other,WI
1825,01580845,Lac du Flambeau Reservation,other,WI
1830,02418993,Lac Vieux Desert Reservation,other,MI
1840,01934340,Laguna Pueblo,other,NM
1850,00271928,La Jolla Reservation,other,CA
1860,01934336,Lake Traverse Reservation,other,ND~SD
1880,01616978,L'Anse Reservation,other,MI
1895,00255947,La Posta Indian Reservation,other,CA
1915,00853945,Las Vegas Indian Colony,other,NV
1925,00226975,Laytonville Rancheria,other,CA
1940,00659096,Leech Lake Reservation,other,MN
1955,00276402,Likely Rancheria,other,CA
1960,02418998,Little River Reservation,other,MI
1963,02419000,Little Traverse Bay Reservation,other,MI
1970,00275865,Lone Pine Reservation,other,CA
1980,00227643,Lookout Rancheria,other,CA
1995,00272219,Los Coyotes Reservation,other,CA
2015,00850417,Lovelock Indian Colony,other,NV
2030,01267015,Lower Brule Reservation,other,SD
2040,01528424,Lower Elwha Reservation,other,WA
2055,00647264,Lower Sioux Indian Community,other,MN
2070,01511578,Lummi Reservation,other,WA
2075,00227877,Lytton Rancheria,other,CA
2085,01511577,Makah Indian Reservation,other,WA
2100,01985200,Manchester-Point Arena Rancheria,other,CA
2115,00245463,Manzanita Reservation,other,CA
2130,00023997,Maricopa (Ak Chin) Indian Reservation,other,AZ
2145,00212541,Mashantucket Pequot Reservation,other,CT
2147,02786720,Mashpee Wampanoag Trust Land,other,MA
2150,02547776,Match-e-be-nash-she-wish Band of Pottawatomi Reservation,other,MI
2175,01831784,Menominee Reservation,other,WI
2190,02419013,Mesa Grande Reservation,other,CA
2205,00924240,Mescalero Reservation,other,NM
2240,00307483,Miccosukee Reservation,other,FL
2255,00228627,Middletown Rancheria,other,CA
2270,02419017,Mille Lacs Reservation,other,MN
2285,02419018,Minnesota Chippewa Trust Land,other,MN
2300,00685014,Mississippi Choctaw Reservation,other,MS~TN
2315,00845336,Moapa River Indian Reservation,other,NV
2320,02419022,Mohegan Reservation,other,CT
2330,00263771,Montgomery Creek Rancheria,other,CA
2340,02419023,Mooretown Rancheria,other,CA
2360,00255940,Morongo Reservation,other,CA
2375,01533394,Muckleshoot Reservation,other,WA
2400,00918263,Nambe Pueblo,other,NM
2415,02030138,Narragansett Reservation,other,RI
2430,00041148,Navajo Nation Reservation,other,AZ~NM~UT
2445,00399588,Nez Perce Reservation,other,ID
2460,01528422,Nisqually Reservation,other,WA
2475,02419035,Nooksack Reservation,other,WA
2490,01637567,Northern Cheyenne Indian Reservation,other,MT~SD
2495,02419036,North Fork Rancheria,other,CA
2505,01455571,Northwestern Shoshone Reservation,other,UT
2510,01934344,Ohkay Owingeh,other,NM
2535,00959239,Oil Springs Reservation,other,NY
2550,00834985,Omaha Reservation,other,IA~NE
2555,02419043,Oneida Nation Reservation,other,NY
2560,01577191,Oneida (WI) Reservation,other,WI
2570,00979312,Onondaga Nation Reservation,other,NY
2580,01934329,Ontonagon Reservation,other,MI
2595,01100113,Osage Reservation,other,OK
2625,01436088,Paiute (UT) Reservation,other,UT
2635,00272502,Pala Reservation,other,CA
2680,02419049,Pascua Pueblo Yaqui Reservation,other,AZ
2685,02419050,Paskenta Rancheria,other,CA
2695,02419052,Passamaquoddy Trust Land,other,ME
2715,00272896,Pauma and Yuima Reservation,other,CA
2745,00272911,Pechanga Reservation,other,CA
2760,00582669,Penobscot Reservation,other,ME
2775,01670201,Picayune Rancheria,other,CA
2785,01934341,Picuris Pueblo,other,NM
2810,01263144,Pine Ridge Reservation,other,NE~SD
2820,00230747,Pinoleville Rancheria,other,CA
